"ccaa" "prov" "sexo" "edad" "nacio" "educ" "situa" "rentah" "factorele" "provsex" "edad2" "edad3" "edad4" "edad5" "edu1" "edu2" "edu3" "nacio1" "situ1" "situ2" "situ3" "uchogar" "rentanorm" "pobre" "dom"
"71" 1 4 1 5 1 1 3 3912 2051.85013 41 0 0 0 1 1 0 0 1 0 0 1 1.5 2608 1 7
"72" 1 4 2 5 1 1 3 3912 2051.85013 42 0 0 0 1 1 0 0 1 0 0 1 1.5 2608 1 8
"73" 1 4 1 3 1 3 1 11300 1983.79895 41 0 1 0 0 0 0 1 1 1 0 0 1 11300 0 7
"74" 1 4 1 4 1 2 1 25650 1462.48159 41 0 0 1 0 0 1 0 1 1 0 0 2.5 10260 0 7
"75" 1 4 2 4 1 2 1 25650 1462.48159 42 0 0 1 0 0 1 0 1 1 0 0 2.5 10260 0 8
"76" 1 4 2 3 1 2 1 25650 1462.48159 42 0 1 0 0 0 1 0 1 1 0 0 2.5 10260 0 8
"77" 1 4 2 1 1 0 0 25650 1462.48159 42 0 0 0 0 0 0 0 1 0 0 0 2.5 10260 0 8
"78" 1 4 1 4 1 1 3 16312.187 1769.14882 41 0 0 1 0 1 0 0 1 0 0 1 1.5 10874.791 0 7
"79" 1 4 2 4 1 1 1 16312.187 1769.14882 42 0 0 1 0 1 0 0 1 1 0 0 1.5 10874.791 0 8
"80" 1 4 1 3 1 1 2 17920 2770.32685 41 0 1 0 0 1 0 0 1 0 1 0 2 8960 0 7
"81" 1 4 2 3 1 2 2 17920 2770.32685 42 0 1 0 0 0 1 0 1 0 1 0 2 8960 0 8
"82" 1 4 1 5 1 1 3 17920 2770.32685 41 0 0 0 1 1 0 0 1 0 0 1 2 8960 0 7
"83" 1 4 2 5 1 1 3 12460 1189.24294 42 0 0 0 1 1 0 0 1 0 0 1 1.5 8306.667 0 8
"84" 1 4 1 5 1 1 3 12460 1189.24294 41 0 0 0 1 1 0 0 1 0 0 1 1.5 8306.667 0 7
"85" 1 4 1 3 1 1 3 4680 1041.92907 41 0 1 0 0 1 0 0 1 0 0 1 3.1 1509.677 1 7
"86" 1 4 2 3 1 1 2 4680 1041.92907 42 0 1 0 0 1 0 0 1 0 1 0 3.1 1509.677 1 8
"87" 1 4 1 2 1 2 2 4680 1041.92907 41 1 0 0 0 0 1 0 1 0 1 0 3.1 1509.677 1 7
"88" 1 4 2 1 1 0 0 4680 1041.92907 42 0 0 0 0 0 0 0 1 0 0 0 3.1 1509.677 1 8
"89" 1 4 2 0 1 0 0 4680 1041.92907 42 0 0 0 0 0 0 0 1 0 0 0 3.1 1509.677 1 8
"90" 1 4 1 0 1 0 0 4680 1041.92907 41 0 0 0 0 0 0 0 1 0 0 0 3.1 1509.677 1 7
"91" 1 4 1 4 1 1 3 10332 1351.15868 41 0 0 1 0 1 0 0 1 0 0 1 1.5 6888 0 7
"92" 1 4 2 4 1 1 3 10332 1351.15868 42 0 0 1 0 1 0 0 1 0 0 1 1.5 6888 0 8
"93" 1 4 1 3 1 2 1 7001 2174.78556 41 0 1 0 0 0 1 0 1 1 0 0 2.1 3333.81 1 7
"94" 1 4 2 3 1 2 1 7001 2174.78556 42 0 1 0 0 0 1 0 1 1 0 0 2.1 3333.81 1 8
"95" 1 4 1 0 1 0 0 7001 2174.78556 41 0 0 0 0 0 0 0 1 0 0 0 2.1 3333.81 1 7
"96" 1 4 1 0 1 0 0 7001 2174.78556 41 0 0 0 0 0 0 0 1 0 0 0 2.1 3333.81 1 7
"97" 1 4 1 3 1 3 2 22502 1929.30471 41 0 1 0 0 0 0 1 1 0 1 0 1.8 12501.111 0 7
"98" 1 4 2 3 1 3 1 22502 1929.30471 42 0 1 0 0 0 0 1 1 1 0 0 1.8 12501.111 0 8
"99" 1 4 2 0 1 0 0 22502 1929.30471 42 0 0 0 0 0 0 0 1 0 0 0 1.8 12501.111 0 8
"100" 1 4 1 3 1 2 1 16400 1232.17744 41 0 1 0 0 0 1 0 1 1 0 0 2.1 7809.524 0 7
"101" 1 4 2 3 1 2 2 16400 1232.17744 42 0 1 0 0 0 1 0 1 0 1 0 2.1 7809.524 0 8
"102" 1 4 2 0 1 0 0 16400 1232.17744 42 0 0 0 0 0 0 0 1 0 0 0 2.1 7809.524 0 8
"103" 1 4 2 0 1 0 0 16400 1232.17744 42 0 0 0 0 0 0 0 1 0 0 0 2.1 7809.524 0 8
"104" 1 4 1 5 1 1 3 13342 1326.79173 41 0 0 0 1 1 0 0 1 0 0 1 1.5 8894.667 0 7
"105" 1 4 2 5 1 1 3 13342 1326.79173 42 0 0 0 1 1 0 0 1 0 0 1 1.5 8894.667 0 8
"106" 1 4 1 3 0 0 0 16005 2295.59651 41 0 1 0 0 0 0 0 0 0 0 0 2.6 6155.769 1 7
"107" 1 4 2 3 0 0 0 16005 2295.59651 42 0 1 0 0 0 0 0 0 0 0 0 2.6 6155.769 1 8
"108" 1 4 2 2 0 2 1 16005 2295.59651 42 1 0 0 0 0 1 0 0 1 0 0 2.6 6155.769 1 8
"109" 1 4 2 0 0 0 0 16005 2295.59651 42 0 0 0 0 0 0 0 0 0 0 0 2.6 6155.769 1 8
"110" 1 4 2 0 1 0 0 16005 2295.59651 42 0 0 0 0 0 0 0 1 0 0 0 2.6 6155.769 1 8
"111" 1 4 2 5 1 1 3 4200 3185.05447 42 0 0 0 1 1 0 0 1 0 0 1 1 4200 1 8
"112" 1 4 1 3 1 3 1 24969.089 1682.38036 41 0 1 0 0 0 0 1 1 1 0 0 2.1 11890.043 0 7
"113" 1 4 2 3 1 3 3 24969.089 1682.38036 42 0 1 0 0 0 0 1 1 0 0 1 2.1 11890.043 0 8
"114" 1 4 1 0 1 0 0 24969.089 1682.38036 41 0 0 0 0 0 0 0 1 0 0 0 2.1 11890.043 0 7
"115" 1 4 1 0 1 0 0 24969.089 1682.38036 41 0 0 0 0 0 0 0 1 0 0 0 2.1 11890.043 0 7
"116" 1 4 2 5 1 1 3 23108.214 3789.22605 42 0 0 0 1 1 0 0 1 0 0 1 2 11554.107 0 8
"118" 1 4 1 3 1 3 3 23108.214 3789.22605 41 0 1 0 0 0 0 1 1 0 0 1 2 11554.107 0 7
"119" 1 4 2 4 1 3 1 19660.433 711.74771 42 0 0 1 0 0 0 1 1 1 0 0 1 19660.433 0 8
"120" 1 4 2 3 1 3 1 34616.207 3152.7292 42 0 1 0 0 0 0 1 1 1 0 0 1.8 19231.227 0 8
